+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
452141.000    30.4570835441   114.6603050134     12.668   -2295957.064    5000892.039    3214160.654 
452142.000    30.4570835568   114.6603050102     12.666   -2295957.062    5000892.037    3214160.654 
452143.000    30.4570835402   114.6603050171     12.659   -2295957.061    5000892.033    3214160.649 
452144.000    30.4570835494   114.6603050214     12.664   -2295957.063    5000892.036    3214160.653 
452145.000    30.4570835502   114.6603050154     12.665   -2295957.063    5000892.037    3214160.653 
452146.000    30.4570835407   114.6603050188     12.662   -2295957.062    5000892.035    3214160.650 
452147.000    30.4570835556   114.6603050117     12.661   -2295957.061    5000892.034    3214160.652 
452148.000    30.4570849122   114.6603062719     12.659   -2295957.138    5000891.912    3214160.780 
452149.000    30.4570870981   114.6603080576     12.653   -2295957.241    5000891.725    3214160.986 
452150.000    30.4570884925   114.6603091447     12.649   -2295957.302    5000891.607    3214161.117 
452151.000    30.4570885084   114.6603091670     12.648   -2295957.303    5000891.604    3214161.118 
452152.000    30.4570885154   114.6603091774     12.638   -2295957.300    5000891.595    3214161.114 
452153.000    30.4570885089   114.6603091624     12.643   -2295957.301    5000891.601    3214161.116 
452154.000    30.4570885268   114.6603091595     12.638   -2295957.298    5000891.595    3214161.115 
452155.000    30.4570885178   114.6603091649     12.638   -2295957.299    5000891.596    3214161.114 
452156.000    30.4570885185   114.6603091656     12.639   -2295957.299    5000891.597    3214161.115 
452157.000    30.4570885168   114.6603091759     12.636   -2295957.299    5000891.594    3214161.113 
452158.000    30.4570885259   114.6603091798     12.637   -2295957.299    5000891.594    3214161.114 
452159.000    30.4570885280   114.6603091831     12.636   -2295957.299    5000891.593    3214161.114 
452160.000    30.4570885096   114.6603091585     12.638   -2295957.299    5000891.597    3214161.114 
